Pv_Sal1_chr01	771669	775922	PVX_093680	Phist	Phist
Pv_Sal1_chr01	585425	588795	PVX_093510	HP conserved	HP
Pv_Sal1_chr01	295180	297959	PVX_087925	CyAP	CyAP
Pv_Sal1_chr01	56108	63097	PVX_087715	HP conserved	HP
Pv_Sal1_chr01	752530	755536	PVX_093670	PK	PK
Pv_Sal1_chr01	748534	750258	PVX_093665	HP conserved	HP
Pv_Sal1_chr01	31271	33154	PVX_087685	centrin	centrin
Pv_Sal1_chr01	76451	88555	PVX_087735	HP conserved	HP
Pv_Sal1_chr01	402750	404299	PVX_088050	HP conserved	HP
Pv_Sal1_chr01	678286	684855	PVX_093610	beta	beta
Pv_Sal1_chr01	160057	163869	PVX_087785	HP conserved	HP
Pv_Sal1_chr01	342633	349964	PVX_087995	cloroquine resistance asscociated Cg7  Cg2	Cg2
Pv_Sal1_chr01	461594	463688	PVX_088150	RPN10	RPN10
Pv_Sal1_chr01	746624	747678	PVX_093660	HP conserved	HP
Pv_Sal1_chr01	792923	793770	PVX_093700	Plasmodium exported unknown function	PEP
Pv_Sal1_chr01	480652	481981	PVX_088180	RAB18	RAB18
Pv_Sal1_chr01	319360	321200	PVX_087965	cloroquine resistance asscociated Cg8	Cg8
Pv_Sal1_chr01	594331	600755	PVX_093525	HP	HP
Pv_Sal1_chr01	89733	99374	PVX_087740	HP conserved	HP
Pv_Sal1_chr01	516724	519255	PVX_088225	DnaJ	DnaJ
Pv_Sal1_chr01	578453	578743	PVX_093500	GAMER	GAMER
Pv_Sal1_chr01	590516	591913	PVX_093515	GTPase-activating	GTPase-activating
Pv_Sal1_chr01	563033	564406	PVX_088280	HP conserved	HP
Pv_Sal1_chr01	68590	69543	PVX_087725	HP conserved	HP
Pv_Sal1_chr01	212788	217771	PVX_087840	importin-7	importin-7
Pv_Sal1_chr01	299731	299940	PVX_087935	DNA-directed RNA polymerase II 8.2 kDa polypeptide	DNA-directed RNA polymerase II 8.2 kDa polypeptide
Pv_Sal1_chr01	668634	670370	PVX_093595	peptidyl-prolyl cis-trans isomerase	peptidyl-prolyl cis-trans isomerase
Pv_Sal1_chr01	41969	45952	PVX_087700	HP conserved	HP
Pv_Sal1_chr01	415578	416468	PVX_088080	RPL1	RPL1
Pv_Sal1_chr01	538376	540410	PVX_088254	HP conserved	HP
Pv_Sal1_chr01	638670	647418	PVX_093565	HP conserved	HP
Pv_Sal1_chr01	370198	370680	PVX_088020	conserved unknown function	CP
Pv_Sal1_chr01	653698	656892	PVX_093575	RAD54	RAD54
Pv_Sal1_chr01	308485	312826	PVX_087950	HSP86	HSP86
Pv_Sal1_chr01	226213	226910	PVX_087855	HP	HP
Pv_Sal1_chr01	350982	355492	PVX_088000	Cg7	Cg7
Pv_Sal1_chr01	356035	356651	PVX_088005	HP conserved	HP
Pv_Sal1_chr01	711670	715404	PVX_093640	NAD	NAD
Pv_Sal1_chr01	176734	180989	PVX_087802	HP conserved	HP
Pv_Sal1_chr01	408897	410473	PVX_088065	RPL34	RPL34
Pv_Sal1_chr01	413680	414912	PVX_088075	HP conserved	HP
Pv_Sal1_chr01	244437	246230	PVX_087870	HP conserved	HP
Pv_Sal1_chr01	371197	378848	PVX_088025	HP conserved	HP
Pv_Sal1_chr01	304525	306592	PVX_087945	BUD32	BUD32
Pv_Sal1_chr01	501556	502962	PVX_088210	PTP2	PTP2
